"No.","Time","Source","Destination","Protocol","Length","Info"
"112","12.830047","192.168.0.108","192.168.0.102","TCP","54","1646  >  0 [SYN] Seq=0 Win=512 Len=0"
"113","12.831847","192.168.0.108","192.168.0.102","TCP","54","1647  >  0 [SYN] Seq=0 Win=512 Len=0"
"114","12.831847","192.168.0.108","192.168.0.102","TCP","54","1648  >  0 [SYN] Seq=0 Win=512 Len=0"
"115","12.831847","192.168.0.108","192.168.0.102","TCP","54","1649  >  0 [SYN] Seq=0 Win=512 Len=0"
"116","12.831847","192.168.0.108","192.168.0.102","TCP","54","1650  >  0 [SYN] Seq=0 Win=512 Len=0"
"117","12.832178","192.168.0.108","192.168.0.102","TCP","54","1651  >  0 [SYN] Seq=0 Win=512 Len=0"
"118","12.832178","192.168.0.108","192.168.0.102","TCP","54","1652  >  0 [SYN] Seq=0 Win=512 Len=0"
"119","12.832178","192.168.0.108","192.168.0.102","TCP","54","1653  >  0 [SYN] Seq=0 Win=512 Len=0"
"120","12.832178","192.168.0.108","192.168.0.102","TCP","54","1654  >  0 [SYN] Seq=0 Win=512 Len=0"
"121","12.832178","192.168.0.108","192.168.0.102","TCP","54","1655  >  0 [SYN] Seq=0 Win=512 Len=0"
"122","12.832178","192.168.0.108","192.168.0.102","TCP","54","1656  >  0 [SYN] Seq=0 Win=512 Len=0"
"123","12.832178","192.168.0.108","192.168.0.102","TCP","54","1657  >  0 [SYN] Seq=0 Win=512 Len=0"
"124","12.832178","192.168.0.108","192.168.0.102","TCP","54","1658  >  0 [SYN] Seq=0 Win=512 Len=0"
"125","12.832178","192.168.0.108","192.168.0.102","TCP","54","1659  >  0 [SYN] Seq=0 Win=512 Len=0"
"126","12.832551","192.168.0.108","192.168.0.102","TCP","54","1660  >  0 [SYN] Seq=0 Win=512 Len=0"
"127","12.832551","192.168.0.108","192.168.0.102","TCP","54","1661  >  0 [SYN] Seq=0 Win=512 Len=0"
"128","12.832551","192.168.0.108","192.168.0.102","TCP","54","1662  >  0 [SYN] Seq=0 Win=512 Len=0"
"129","12.832551","192.168.0.108","192.168.0.102","TCP","54","1663  >  0 [SYN] Seq=0 Win=512 Len=0"
"130","12.832551","192.168.0.108","192.168.0.102","TCP","54","1664  >  0 [SYN] Seq=0 Win=512 Len=0"
"131","12.832551","192.168.0.108","192.168.0.102","TCP","54","1665  >  0 [SYN] Seq=0 Win=512 Len=0"
"132","12.832551","192.168.0.108","192.168.0.102","TCP","54","1666  >  0 [SYN] Seq=0 Win=512 Len=0"
"133","12.832551","192.168.0.108","192.168.0.102","TCP","54","1667  >  0 [SYN] Seq=0 Win=512 Len=0"
"134","12.832551","192.168.0.108","192.168.0.102","TCP","54","1668  >  0 [SYN] Seq=0 Win=512 Len=0"
"135","12.832551","192.168.0.108","192.168.0.102","TCP","54","1669  >  0 [SYN] Seq=0 Win=512 Len=0"
"136","12.832551","192.168.0.108","192.168.0.102","TCP","54","1670  >  0 [SYN] Seq=0 Win=512 Len=0"
"137","12.832551","192.168.0.108","192.168.0.102","TCP","54","1671  >  0 [SYN] Seq=0 Win=512 Len=0"
"138","12.832551","192.168.0.108","192.168.0.102","TCP","54","1672  >  0 [SYN] Seq=0 Win=512 Len=0"
"139","12.840211","192.168.0.108","192.168.0.102","TCP","54","1673  >  0 [SYN] Seq=0 Win=512 Len=0"
"140","12.840211","192.168.0.108","192.168.0.102","TCP","54","1674  >  0 [SYN] Seq=0 Win=512 Len=0"
"141","12.840211","192.168.0.108","192.168.0.102","TCP","54","1675  >  0 [SYN] Seq=0 Win=512 Len=0"
"142","12.840211","192.168.0.108","192.168.0.102","TCP","54","1676  >  0 [SYN] Seq=0 Win=512 Len=0"
"143","12.840569","192.168.0.108","192.168.0.102","TCP","54","1677  >  0 [SYN] Seq=0 Win=512 Len=0"
"144","12.840569","192.168.0.108","192.168.0.102","TCP","54","1678  >  0 [SYN] Seq=0 Win=512 Len=0"
"145","12.840569","192.168.0.108","192.168.0.102","TCP","54","1679  >  0 [SYN] Seq=0 Win=512 Len=0"
"146","12.840569","192.168.0.108","192.168.0.102","TCP","54","1680  >  0 [SYN] Seq=0 Win=512 Len=0"
"147","12.840569","192.168.0.108","192.168.0.102","TCP","54","1681  >  0 [SYN] Seq=0 Win=512 Len=0"
"148","12.840569","192.168.0.108","192.168.0.102","TCP","54","1682  >  0 [SYN] Seq=0 Win=512 Len=0"
"149","12.840569","192.168.0.108","192.168.0.102","TCP","54","1683  >  0 [SYN] Seq=0 Win=512 Len=0"
"150","12.840569","192.168.0.108","192.168.0.102","TCP","54","1684  >  0 [SYN] Seq=0 Win=512 Len=0"
"151","12.840569","192.168.0.108","192.168.0.102","TCP","54","1685  >  0 [SYN] Seq=0 Win=512 Len=0"
"152","12.840569","192.168.0.108","192.168.0.102","TCP","54","1686  >  0 [SYN] Seq=0 Win=512 Len=0"
"153","12.840569","192.168.0.108","192.168.0.102","TCP","54","1687  >  0 [SYN] Seq=0 Win=512 Len=0"
"154","12.840569","192.168.0.108","192.168.0.102","TCP","54","1688  >  0 [SYN] Seq=0 Win=512 Len=0"
"155","12.841007","192.168.0.108","192.168.0.102","TCP","54","1689  >  0 [SYN] Seq=0 Win=512 Len=0"
"156","12.841007","192.168.0.108","192.168.0.102","TCP","54","1690  >  0 [SYN] Seq=0 Win=512 Len=0"
