"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.127.250.238","192.168.0.103","TCP","66","443  >  18017 [ACK] Seq=1 Ack=1 Win=251 Len=0 SLE=0 SRE=1"
"2","0.804279","192.168.0.103","142.251.134.74","UDP","71","58895  >  443 Len=29"
"3","0.827816","142.251.134.74","192.168.0.103","UDP","67","443  >  58895 Len=25"
"4","2.995810","192.168.0.104","192.168.0.103","TCP","54","2407  >  0 [SYN] Seq=0 Win=512 Len=0"
"5","3.912184","192.168.0.103","64.233.190.188","TCP","55","17703  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"6","3.968680","64.233.190.188","192.168.0.103","TCP","66","5228  >  17703 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"7","3.990268","192.168.0.103","64.233.190.188","TCP","55","17704  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"8","3.997034","192.168.0.104","192.168.0.103","TCP","54","2408  >  0 [SYN] Seq=0 Win=512 Len=0"
"9","4.005996","192.168.0.103","142.250.79.142","UDP","71","64355  >  443 Len=29"
"10","4.028661","64.233.190.188","192.168.0.103","TCP","66","5228  >  17704 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"11","4.046723","142.250.79.142","192.168.0.103","UDP","68","443  >  64355 Len=26"
"12","4.325625","192.168.0.103","192.168.0.1","DNS","75","Standard query 0x7453 A play.google.com"
"13","4.326118","192.168.0.103","192.168.0.1","DNS","75","Standard query 0x6587 HTTPS play.google.com"
"14","4.327042","192.168.0.103","192.168.0.1","DNS","86","Standard query 0x4b62 A waa-pa.clients6.google.com"
"15","4.327383","192.168.0.103","192.168.0.1","DNS","86","Standard query 0x92d8 HTTPS waa-pa.clients6.google.com"
"16","4.329304","192.168.0.1","192.168.0.103","DNS","102","Standard query response 0x4b62 A waa-pa.clients6.google.com A 216.58.202.106"
"17","4.340208","192.168.0.1","192.168.0.103","DNS","510","Standard query response 0x7453 A play.google.com A 142.251.133.78 NS m.root-servers.net NS a.root-servers.net NS b.root-servers.net NS c.root-servers.net NS d.root-servers.net NS e.root-servers.net NS f.root-servers.net NS g.root-servers.net NS h.root-servers.net NS i.root-servers.net NS j.root-servers.net NS k.root-servers.net NS l.root-servers.net A 202.12.27.33 A 198.41.0.4 A 170.247.170.2 A 192.33.4.12 A 199.7.91.13 A 192.203.230.10 A 192.5.5.241 A 192.112.36.4 A 198.97.190.53 A 192.36.148.17 A 192.58.128.30 A 193.0.14.129 A 199.7.83.42"
"18","4.341462","192.168.0.103","216.58.202.106","QUIC","1292","Initial, DCID=202c400539f460c7, PKN: 1, CRYPTO"
"19","4.341549","192.168.0.103","216.58.202.106","QUIC","1292","Initial, DCID=202c400539f460c7, PKN: 2, PADDING, PING, PING, PING, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO"
"20","4.341756","192.168.0.103","216.58.202.106","QUIC","118","0-RTT, DCID=202c400539f460c7"
"21","4.350666","192.168.0.103","142.251.133.78","QUIC","1292","Initial, DCID=708a70f5534919f4, PKN: 1, CRYPTO"
"22","4.350751","192.168.0.103","142.251.133.78","QUIC","1292","Initial, DCID=708a70f5534919f4, PKN: 2, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PING, PING, PADDING, PING, PING, PADDING, PING"
"23","4.352661","192.168.0.103","142.251.133.78","QUIC","118","0-RTT, DCID=708a70f5534919f4"
"24","4.373914","192.168.0.1","192.168.0.103","DNS","494","Standard query response 0x6587 HTTPS play.google.com NS c.root-servers.net NS d.root-servers.net NS e.root-servers.net NS f.root-servers.net NS g.root-servers.net NS h.root-servers.net NS i.root-servers.net NS j.root-servers.net NS k.root-servers.net NS l.root-servers.net NS m.root-servers.net NS a.root-servers.net NS b.root-servers.net A 192.33.4.12 A 199.7.91.13 A 192.203.230.10 A 192.5.5.241 A 192.112.36.4 A 198.97.190.53 A 192.36.148.17 A 192.58.128.30 A 193.0.14.129 A 199.7.83.42 A 202.12.27.33 A 198.41.0.4 A 170.247.170.2"
"25","4.379289","216.58.202.106","192.168.0.103","QUIC","1292","Initial, SCID=e02c400539f460c7, PKN: 1, ACK, PADDING"
"26","4.379289","142.251.133.78","192.168.0.103","QUIC","1292","Initial, SCID=f08a70f5534919f4, PKN: 1, ACK, PADDING"
"27","4.379289","192.168.0.1","192.168.0.103","DNS","505","Standard query response 0x92d8 HTTPS waa-pa.clients6.google.com NS d.root-servers.net NS e.root-servers.net NS f.root-servers.net NS g.root-servers.net NS h.root-servers.net NS i.root-servers.net NS j.root-servers.net NS k.root-servers.net NS l.root-servers.net NS m.root-servers.net NS a.root-servers.net NS b.root-servers.net NS c.root-servers.net A 199.7.91.13 A 192.203.230.10 A 192.5.5.241 A 192.112.36.4 A 198.97.190.53 A 192.36.148.17 A 192.58.128.30 A 193.0.14.129 A 199.7.83.42 A 202.12.27.33 A 198.41.0.4 A 170.247.170.2 A 192.33.4.12"
"28","4.399503","142.251.133.78","192.168.0.103","QUIC","1292","Initial, SCID=f08a70f5534919f4, PKN: 2, CRYPTO, PADDING"
"29","4.399503","142.251.133.78","192.168.0.103","QUIC","339","Protected Payload (KP0)"
"30","4.399503","142.251.133.78","192.168.0.103","QUIC","672","Protected Payload (KP0)"
"31","4.399503","216.58.202.106","192.168.0.103","QUIC","1292","Initial, SCID=e02c400539f460c7, PKN: 2, CRYPTO, PADDING"
"32","4.399503","216.58.202.106","192.168.0.103","QUIC","355","Protected Payload (KP0)"
"33","4.399643","216.58.202.106","192.168.0.103","QUIC","979","Protected Payload (KP0)"
"34","4.399643","216.58.202.106","192.168.0.103","QUIC","94","Protected Payload (KP0)"
"35","4.399643","142.251.133.78","192.168.0.103","QUIC","67","Protected Payload (KP0)"
"36","4.400124","192.168.0.103","216.58.202.106","QUIC","120","Handshake, DCID=e02c400539f460c7"
"37","4.400219","192.168.0.103","216.58.202.106","QUIC","73","Protected Payload (KP0), DCID=e02c400539f460c7"
"38","4.400505","216.58.202.106","192.168.0.103","QUIC","66","Protected Payload (KP0)"
"39","4.400667","192.168.0.103","142.251.133.78","QUIC","120","Handshake, DCID=f08a70f5534919f4"
"40","4.400738","192.168.0.103","142.251.133.78","QUIC","73","Protected Payload (KP0), DCID=f08a70f5534919f4"
"41","4.401004","192.168.0.103","216.58.202.106","QUIC","1288","Protected Payload (KP0), DCID=e02c400539f460c7"
"42","4.401045","192.168.0.103","216.58.202.106","QUIC","1288","Protected Payload (KP0), DCID=e02c400539f460c7"
"43","4.401080","192.168.0.103","216.58.202.106","QUIC","1292","Protected Payload (KP0), DCID=e02c400539f460c7"
"44","4.401108","192.168.0.103","216.58.202.106","QUIC","194","Protected Payload (KP0), DCID=e02c400539f460c7"
"45","4.401256","192.168.0.103","216.58.202.106","QUIC","1288","Protected Payload (KP0), DCID=e02c400539f460c7"
"46","4.401302","192.168.0.103","216.58.202.106","QUIC","731","Protected Payload (KP0), DCID=e02c400539f460c7"
"47","4.401524","192.168.0.103","142.251.133.78","QUIC","1288","Protected Payload (KP0), DCID=f08a70f5534919f4"
"48","4.401562","192.168.0.103","142.251.133.78","QUIC","1288","Protected Payload (KP0), DCID=f08a70f5534919f4"
"49","4.401612","192.168.0.103","142.251.133.78","QUIC","1292","Protected Payload (KP0), DCID=f08a70f5534919f4"
"50","4.401648","192.168.0.103","142.251.133.78","QUIC","502","Protected Payload (KP0), DCID=f08a70f5534919f4"
"51","4.401946","192.168.0.103","142.251.133.78","QUIC","1288","Protected Payload (KP0), DCID=f08a70f5534919f4"
"52","4.401991","192.168.0.103","142.251.133.78","QUIC","1025","Protected Payload (KP0), DCID=f08a70f5534919f4"
"53","4.432657","142.251.133.78","192.168.0.103","QUIC","162","Protected Payload (KP0)"
"54","4.432657","216.58.202.106","192.168.0.103","QUIC","162","Protected Payload (KP0)"
"55","4.432657","216.58.202.106","192.168.0.103","QUIC","67","Protected Payload (KP0)"
"56","4.434141","216.58.202.106","192.168.0.103","QUIC","71","Protected Payload (KP0)"
"57","4.434325","192.168.0.103","216.58.202.106","QUIC","74","Protected Payload (KP0), DCID=e02c400539f460c7"
"58","4.438087","216.58.202.106","192.168.0.103","QUIC","67","Protected Payload (KP0)"
"59","4.441568","142.251.133.78","192.168.0.103","QUIC","67","Protected Payload (KP0)"
"60","4.441568","216.58.202.106","192.168.0.103","QUIC","71","Protected Payload (KP0)"
"61","4.441568","142.251.133.78","192.168.0.103","QUIC","71","Protected Payload (KP0)"
"62","4.441802","192.168.0.103","142.251.133.78","QUIC","74","Protected Payload (KP0), DCID=f08a70f5534919f4"
"63","4.443579","142.251.133.78","192.168.0.103","QUIC","67","Protected Payload (KP0)"
"64","4.443579","142.251.133.78","192.168.0.103","QUIC","71","Protected Payload (KP0)"
"65","4.464482","216.58.202.106","192.168.0.103","QUIC","66","Protected Payload (KP0)"
"66","4.469509","142.251.133.78","192.168.0.103","QUIC","68","Protected Payload (KP0)"
"67","4.469509","142.251.133.78","192.168.0.103","QUIC","888","Protected Payload (KP0)"
"68","4.469727","192.168.0.103","142.251.133.78","QUIC","73","Protected Payload (KP0), DCID=f08a70f5534919f4"
"69","4.469888","192.168.0.103","142.251.133.78","QUIC","77","Protected Payload (KP0), DCID=f08a70f5534919f4"
"70","4.470088","192.168.0.103","216.58.202.106","QUIC","74","Protected Payload (KP0), DCID=e02c400539f460c7"
"71","4.471504","142.251.133.78","192.168.0.103","QUIC","200","Protected Payload (KP0)"
"72","4.475258","216.58.202.106","192.168.0.103","QUIC","1285","Protected Payload (KP0)"
"73","4.475258","216.58.202.106","192.168.0.103","QUIC","229","Protected Payload (KP0)"
"74","4.475363","142.251.133.78","192.168.0.103","QUIC","688","Protected Payload (KP0)"
"75","4.475363","142.251.133.78","192.168.0.103","QUIC","253","Protected Payload (KP0)"
"76","4.475363","216.58.202.106","192.168.0.103","QUIC","1027","Protected Payload (KP0)"
"77","4.475429","216.58.202.106","192.168.0.103","QUIC","275","Protected Payload (KP0)"
"78","4.475616","192.168.0.103","216.58.202.106","QUIC","77","Protected Payload (KP0), DCID=e02c400539f460c7"
"79","4.475751","192.168.0.103","216.58.202.106","QUIC","77","Protected Payload (KP0), DCID=e02c400539f460c7"
"80","4.475909","192.168.0.103","142.251.133.78","QUIC","77","Protected Payload (KP0), DCID=f08a70f5534919f4"
"81","4.500464","142.251.133.78","192.168.0.103","QUIC","65","Protected Payload (KP0)"
"82","4.500464","216.58.202.106","192.168.0.103","QUIC","65","Protected Payload (KP0)"
"83","4.505866","192.168.0.103","216.58.202.106","QUIC","74","Protected Payload (KP0), DCID=e02c400539f460c7"
"84","4.505938","192.168.0.103","142.251.133.78","QUIC","74","Protected Payload (KP0), DCID=f08a70f5534919f4"
"85","4.615174","192.168.0.103","172.217.172.99","TCP","55","17970  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"86","4.646837","172.217.172.99","192.168.0.103","TCP","66","443  >  17970 [ACK] Seq=1 Ack=2 Win=301 Len=0 SLE=1 SRE=2"
"87","4.999255","192.168.0.104","192.168.0.103","TCP","54","2409  >  0 [SYN] Seq=0 Win=512 Len=0"
"88","5.997371","192.168.0.104","192.168.0.103","TCP","54","2410  >  0 [SYN] Seq=0 Win=512 Len=0"
"89","6.998200","192.168.0.104","192.168.0.103","TCP","54","2411  >  0 [SYN] Seq=0 Win=512 Len=0"
"90","7.239599","192.168.0.103","142.251.134.74","UDP","71","58895  >  443 Len=29"
"91","7.256940","142.251.134.74","192.168.0.103","UDP","67","443  >  58895 Len=25"
"92","7.998043","192.168.0.104","192.168.0.103","TCP","54","2412  >  0 [SYN] Seq=0 Win=512 Len=0"
