"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.596768","192.168.0.104","192.168.0.103","TCP","74","42358  >  1 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015398003 TSecr=0 WS=128"
"12","7.948922","192.168.0.104","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"70","18.701307","192.168.0.104","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"89","27.507365","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"204","59.584907","192.168.0.104","192.168.0.103","TCP","74","38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015456991 TSecr=0 WS=128"
"210","60.274306","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
"213","60.596680","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015458003 TSecr=0 WS=128"
"215","61.504367","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"216","61.620619","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015459027 TSecr=0 WS=128"
"220","62.433762","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"221","62.652345","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015460051 TSecr=0 WS=128"
"240","63.669305","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015461075 TSecr=0 WS=128"
"245","64.693020","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015462099 TSecr=0 WS=128"
"248","66.710823","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015464115 TSecr=0 WS=128"
"249","70.740259","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015468147 TSecr=0 WS=128"
"252","72.766934","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"291","78.933592","192.168.0.104","192.168.0.103","TCP","74","[TCP Retransmission] 38796  >  4 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3015476339 TSecr=0 WS=128"
"304","79.732127","192.168.0.104","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
"328","82.290006","192.168.0.104","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"333","83.215861","192.168.0.104","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"385","96.728978","192.168.0.104","192.168.0.255","UDP","86","57621  >  57621 Len=44"
